start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(3, 3):(0, 0)|(3, 3):2:0x44","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,1
"(3, 3):(0, 0)|(3, 3):2:0x45","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x46","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x47","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,3
"(3, 3):(0, 0)|(3, 3):2:0x4e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,1,1,2
"(3, 3):(0, 0)|(3, 3):2:0x4f","(4, 4):(0, 0)|(4, 4):2:0x2596",stable,0,3,3,4,4,4
"(3, 3):(0, 0)|(3, 3):2:0x54","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,4,4,2
"(3, 3):(0, 0)|(3, 3):2:0x55","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,3,4,4,3
"(3, 3):(0, 0)|(3, 3):2:0x56","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,4,4,5
"(3, 3):(0, 0)|(3, 3):2:0x57","(54, 23):(0, 0)|(54, 23):5:0x18000000000000000000000070000210000320004580034220031cc0023100000000000000000400001400006c000090018360030280000200000000030000060e0000000000000001800003000000000000000300000c00000400000000000000000000000000000000000000000030000060000000000000000000000000000000040000c8300209980ca4080c43900e24e00006000044000010",survival,0,3,3,54,23,99
"(3, 3):(0, 0)|(3, 3):2:0x5e","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,23,3
"(3, 3):(0, 0)|(3, 3):2:0x5f","(4, 4):(0, 0)|(4, 4):1:0x69a4",stable,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x61","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x62","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x63","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x65","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x66","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,3,3,54,23,3
"(3, 3):(0, 0)|(3, 3):2:0x67","(3, 3):(0, 0)|(3, 3):0:0x172",spaceship,4,3,3,54,23,5
"(3, 3):(0, 0)|(3, 3):2:0x69","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,23,13
"(3, 3):(0, 0)|(3, 3):2:0x6a","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,3
"(3, 3):(0, 0)|(3, 3):2:0x6b","(3, 3):(0, 0)|(3, 3):0:0x11e",spaceship,4,3,3,54,23,5
"(3, 3):(0, 0)|(3, 3):2:0x6c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x6d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,23,3
"(3, 3):(0, 0)|(3, 3):2:0x6e","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,3,3,54,23,2
"(3, 3):(0, 0)|(3, 3):2:0x6f","(50, 24):(0, 0)|(50, 24):14:0x300000300000440000560000f06001f69002469001806000000000000003800004400006c0000420000360c00220c001c00000000000060007060000000000000000c00000c000000000000200000300000500000000000000000000000000000000000000000000c00000c00000000000000000000000000000000000c00002129800145c0c04060832f408107806c02001c0000",survival,0,3,3,54,24,99
"(3, 3):(0, 0)|(3, 3):2:0x71","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,24,12
"(3, 3):(0, 0)|(3, 3):2:0x72","(4, 4):(0, 0)|(4, 4):1:0x6996",stable,0,3,3,54,24,5
"(3, 3):(0, 0)|(3, 3):2:0x73","(3, 3):(0, 0)|(3, 3):1:0xa7",spaceship,4,3,3,54,24,5
"(3, 3):(0, 0)|(3, 3):2:0x75","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,4
"(3, 3):(0, 0)|(3, 3):2:0x76","(3, 3):(0, 0)|(3, 3):1:0xae",stable,0,3,3,54,24,2
"(3, 3):(0, 0)|(3, 3):2:0x77","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,4
"(3, 3):(0, 0)|(3, 3):2:0x79","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,24,12
"(3, 3):(0, 0)|(3, 3):2:0x7a","(50, 24):(0, 0)|(50, 24):15:0x1000003000004000005e0000346001849001949001946000000000000001000006c00006c0000000000360c00360c000800000000002060002060002000000000000c00000c000000000000000000700000100000200000000000000000000000000000000000000c00000c00000000000000000000000000000000000000001e31003f3ac0583840df24407203802c0200080000",survival,0,3,3,54,24,99
"(3, 3):(0, 0)|(3, 3):2:0x7b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,4
"(3, 3):(0, 0)|(3, 3):2:0x7c","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,3
"(3, 3):(0, 0)|(3, 3):2:0x7d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,9
"(3, 3):(0, 0)|(3, 3):2:0x7e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,4
"(3, 3):(0, 0)|(3, 3):2:0x7f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,7
"(3, 3):(0, 0)|(3, 3):1:0xaa","(3, 3):(0, 0)|(3, 3):1:0xaa",stable,0,3,3,54,24,1
"(3, 3):(0, 0)|(3, 3):1:0xab","(3, 3):(0, 0)|(3, 3):1:0xab",stable,0,3,3,54,24,1
"(3, 3):(0, 0)|(3, 3):1:0xad","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,3,3,54,24,3
"(3, 3):(0, 0)|(3, 3):1:0xaf","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,3,3,54,24,2
"(3, 3):(0, 0)|(3, 3):1:0xba","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,3,3,54,24,8
